Make/Model,Images,Make,Model,Year,Rating
Bentley Bentayga,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,Bentley,Bentayga,2019,7.7
Bentley Bentayga,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,Bentley,Bentayga,2020,7.7
Bentley Bentayga,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,Bentley,Bentayga,2021,8.2
Bentley Bentayga,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,Bentley,Bentayga,2022,8.2
Bentley Bentayga,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,Bentley,Bentayga,2023,8.2
Bentley Bentayga,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,Bentley,Bentayga,2024,
Bentley Bentayga,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,Bentley,Bentayga,2025,
BMW 4 Series Coupe,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,BMW,4 Series Coupe,2019,
BMW 2 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,2 Series,2019,8.6
BMW 2 Series (convertible),https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,2 Series (convertible),2019,7.8
BMW 3 Series sedan,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,3 Series sedan,2019,7.6
BMW 4 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,4 Series,2019,7.5
BMW 4 Series Convertible,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,4 Series Convertible,2019,
BMW iX,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,iX,2019,
BMW 4 Series Gran Coupe,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,4 Series Gran Coupe,2019,7.1
BMW 5 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,5 Series,2019,8.1
BMW 6 Series Gran Turismo,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,6 Series Gran Turismo,2019,7.6
BMW 7 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,7 Series,2019,8
BMW 8 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,8 Series,2019,8.2
BMW Alpina B7,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,Alpina B7,2019,8.2
BMW i3,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,i3,2019,8.4
BMW M4,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,M4,2019,7.3
BMW M5,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,M5,2019,8.6
BMW X1,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X1,2019,7.8
BMW X2,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X2,2019,7.2
BMW X3,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X3,2019,7.8
BMW X4,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X4,2019,7.5
BMW X5,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X5,2019,8
BMW X6,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,BMW,X6,2019,6.9
BMW X7,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,BMW,X7,2019,7.9
BMW Z4,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,BMW,Z4,2019,
BMW 4 Series Coupe,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,BMW,4 Series Coupe,2020,7.9
BMW 2 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,2 Series,2020,
BMW 2 Series (convertible),https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,2 Series (convertible),2020,
BMW 3 Series sedan,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,3 Series sedan,2020,
BMW 4 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,4 Series,2020,
BMW 4 Series Convertible,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,4 Series Convertible,2020,7.5
BMW iX,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,iX,2020,
BMW 4 Series Gran Coupe,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,4 Series Gran Coupe,2020,7.1
BMW 5 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,5 Series,2020,8.1
BMW 6 Series Gran Turismo,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,6 Series Gran Turismo,2020,
BMW 7 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,7 Series,2020,8.4
BMW 8 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,8 Series,2020,8.1
BMW Alpina B7,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,Alpina B7,2020,8.2
BMW i3,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,i3,2020,7.8
BMW M4,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,M4,2020,7.3
BMW M5,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,M5,2020,8.6
BMW X1,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X1,2020,8
BMW X2,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X2,2020,7.3
BMW X3,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X3,2020,7.8
BMW X4,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X4,2020,7.5
BMW X5,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X5,2020,8
BMW X6,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,BMW,X6,2020,
BMW X7,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,BMW,X7,2020,7.9
BMW Z4,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,BMW,Z4,2020,7.4
BMW 4 Series Coupe,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,BMW,4 Series Coupe,2021,
BMW 2 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,2 Series,2021,
BMW 2 Series (convertible),https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,2 Series (convertible),2021,
BMW 3 Series sedan,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,3 Series sedan,2021,
BMW 4 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,4 Series,2021,8
BMW 4 Series Convertible,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,4 Series Convertible,2021,
BMW iX,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,iX,2021,
BMW 4 Series Gran Coupe,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,4 Series Gran Coupe,2021,
BMW 5 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,5 Series,2021,8.1
BMW 6 Series Gran Turismo,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,6 Series Gran Turismo,2021,
BMW 7 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,7 Series,2021,8.4
BMW 8 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,8 Series,2021,8.1
BMW Alpina B7,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,Alpina B7,2021,8.2
BMW i3,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,i3,2021,7.8
BMW M4,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,M4,2021,7.9
BMW M5,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,M5,2021,8.6
BMW X1,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X1,2021,
BMW X2,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X2,2021,7.3
BMW X3,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X3,2021,7.8
BMW X4,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X4,2021,7.5
BMW X5,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X5,2021,7.9
BMW X6,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,BMW,X6,2021,
BMW X7,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,BMW,X7,2021,7.9
BMW Z4,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,BMW,Z4,2021,7.5
BMW 4 Series Coupe,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,BMW,4 Series Coupe,2022,
BMW 2 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,2 Series,2022,8.1
BMW 2 Series (convertible),https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,2 Series (convertible),2022,
BMW 3 Series sedan,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,3 Series sedan,2022,
BMW 4 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,4 Series,2022,8
BMW 4 Series Convertible,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,4 Series Convertible,2022,7.9
BMW iX,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,iX,2022,
BMW 4 Series Gran Coupe,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,4 Series Gran Coupe,2022,7.7
BMW 5 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,5 Series,2022,8.1
BMW 6 Series Gran Turismo,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,6 Series Gran Turismo,2022,
BMW 7 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,7 Series,2022,8.4
BMW 8 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,8 Series,2022,8.1
BMW Alpina B7,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,Alpina B7,2022,8.2
BMW i3,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,i3,2022,
BMW M4,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,M4,2022,7.9
BMW M5,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,M5,2022,
BMW X1,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X1,2022,8
BMW X2,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X2,2022,7.3
BMW X3,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X3,2022,7.8
BMW X4,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X4,2022,7.5
BMW X5,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X5,2022,7.9
BMW X6,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,BMW,X6,2022,
BMW X7,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,BMW,X7,2022,7.9
BMW Z4,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,BMW,Z4,2022,7.5
BMW 4 Series Coupe,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,BMW,4 Series Coupe,2023,8
BMW 2 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,2 Series,2023,8.1
BMW 2 Series (convertible),https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,2 Series (convertible),2023,
BMW 3 Series sedan,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,3 Series sedan,2023,
BMW 4 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,4 Series,2023,
BMW 4 Series Convertible,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,4 Series Convertible,2023,7.9
BMW iX,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,iX,2023,8.4
BMW 4 Series Gran Coupe,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,4 Series Gran Coupe,2023,7.7
BMW 5 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,5 Series,2023,8.1
BMW 6 Series Gran Turismo,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,6 Series Gran Turismo,2023,
BMW 7 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,7 Series,2023,8.4
BMW 8 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,8 Series,2023,8.1
BMW Alpina B7,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,Alpina B7,2023,
BMW i3,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,i3,2023,
BMW M4,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,M4,2023,7.9
BMW M5,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,M5,2023,
BMW X1,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X1,2023,
BMW X2,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X2,2023,7.3
BMW X3,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X3,2023,7.8
BMW X4,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X4,2023,7.5
BMW X5,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X5,2023,7.9
BMW X6,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,BMW,X6,2023,
BMW X7,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,BMW,X7,2023,
BMW Z4,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,BMW,Z4,2023,7.9
BMW 4 Series Coupe,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,BMW,4 Series Coupe,2024,7.9
BMW 2 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,2 Series,2024,8.1
BMW 2 Series (convertible),https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,2 Series (convertible),2024,
BMW 3 Series sedan,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,3 Series sedan,2024,
BMW 4 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,4 Series,2024,
BMW 4 Series Convertible,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,4 Series Convertible,2024,7.9
BMW iX,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,iX,2024,
BMW 4 Series Gran Coupe,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,4 Series Gran Coupe,2024,7.8
BMW 5 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,5 Series,2024,
BMW 6 Series Gran Turismo,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,6 Series Gran Turismo,2024,
BMW 7 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,7 Series,2024,8.4
BMW 8 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,8 Series,2024,7.9
BMW Alpina B7,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,Alpina B7,2024,
BMW i3,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,i3,2024,
BMW M4,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,M4,2024,7.9
BMW M5,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,M5,2024,
BMW X1,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X1,2024,8.1
BMW X2,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X2,2024,
BMW X3,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X3,2024,7.8
BMW X4,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X4,2024,7.5
BMW X5,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X5,2024,
BMW X6,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,BMW,X6,2024,
BMW X7,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,BMW,X7,2024,8.1
BMW Z4,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,BMW,Z4,2024,7.9
BMW 4 Series Coupe,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,BMW,4 Series Coupe,2025,8
BMW 2 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,2 Series,2025,
BMW 2 Series (convertible),https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,2 Series (convertible),2025,
BMW 3 Series sedan,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,3 Series sedan,2025,
BMW 4 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,4 Series,2025,
BMW 4 Series Convertible,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,4 Series Convertible,2025,7.9
BMW iX,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,iX,2025,8.4
BMW 4 Series Gran Coupe,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,4 Series Gran Coupe,2025,
BMW 5 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,5 Series,2025,
BMW 6 Series Gran Turismo,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,6 Series Gran Turismo,2025,
BMW 7 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,7 Series,2025,
BMW 8 Series,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,8 Series,2025,
BMW Alpina B7,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,Alpina B7,2025,
BMW i3,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,i3,2025,
BMW M4,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,BMW,M4,2025,
BMW M5,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,M5,2025,
BMW X1,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X1,2025,
BMW X2,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X2,2025,
BMW X3,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X3,2025,
BMW X4,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X4,2025,
BMW X5,https://public.flourish.studio/uploads/2146307/56e168a3-a183-4f91-a360-93d99b0eb440.svg,BMW,X5,2025,
BMW X6,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,BMW,X6,2025,
BMW X7,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,BMW,X7,2025,8.1
BMW Z4,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,BMW,Z4,2025,7.9
Buick Cascada,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,Buick,Cascada,2019,5.6
Buick Encore,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,Buick,Encore,2019,6.9
Buick Envision,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,Buick,Envision,2019,7.2
Buick LaCrosse,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,Buick,LaCrosse,2019,6.3
Buick Regal Sportback,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,Buick,Regal Sportback,2019,7.9
Buick Regal TourX,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,Buick,Regal TourX,2019,7.6
Buick Cascada,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,Buick,Cascada,2020,
Buick Encore,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,Buick,Encore,2020,
Buick Envision,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,Buick,Envision,2020,7.2
Buick LaCrosse,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,Buick,LaCrosse,2020,
Buick Regal Sportback,https://public.flourish.studio/uploads/2146307/5fb79646-039f-4409-848e-0a9968864730.svg,Buick,Regal Sportback,2020,7.9
